Year,Month,Day,Flag.Tsunami,Flag.Earthquake,Volcano.Name,Location,Country,Elevation,Volcano.Type,Status,Volcanic.Explosivity.Index,Volcano...Deaths,Volcano...Deaths.Description,Volcano...Missing,Volcano...Missing.Description,Volcano...Injuries,Volcano...Injuries.Description,Volcano...Damage..in.M..,Volcano...Damage.Description,Volcano...Houses.destroyed,Volcano...Houses.destroyed.Description,Total.Effects...Deaths,Total.Effects...Deaths.Description,Total.Effects...Missing,Total.Effects...Missing.Description,Total.Effects...Injuries,Total.Effects...Injuries.Description,Total.Effects...Damages.in.million.Dollars,Total.Effects...Damage.Description,Total.Effects...Houses.Destroyed,Total.Effects...Houses.Destroyed.Description,Coordinates,Earthquakes...Houses.damaged.Description,Total.Effects...Houses.Damaged.Description,RowNumber
1971,12.0,27.0,,,Kusatsu-Shirane,Honshu-Japan,Japan,2176.0,Stratovolcano,Historical,,6.0,Few (~1 to 50 deaths),,,,,,,,,6.0,Few (~1 to 50 deaths),,,,,,,,,36.62,,,120
1991,10.0,24.0,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1580.0,Stratovolcano,Historical,1.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,1.358,,,121
1995,4.0,7.0,,,Pacaya,Guatemala,Guatemala,2552.0,Complex volcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),1.0,Few (~1 to 50 houses),1.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),1.0,Few (~1 to 50 houses),14.381,,,122
1998,4.0,28.0,,,Kilauea,Hawaiian Is,United States,1222.0,Shield volcano,Historical,,1.0,Few (~1 to 50 deaths),,,,,,,,,,,,,,,,,,,19.425,,,123
1999,5.0,21.0,,,Fuego,Guatemala,Guatemala,3763.0,Stratovolcano,Historical,2.0,,,,,,,,,,,,,,,,,,,,,14.473,,,124
2011,12.0,27.0,,,Gamalama,Halmahera-Indonesia,Indonesia,1715.0,Stratovolcano,Historical,3.0,4.0,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,4.0,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,0.8,,,125
2017,12.0,27.0,,,Sinabung,Sumatra,Indonesia,2460.0,Stratovolcano,Holocene,,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,3.17,,,126
-4360,8.0,15.39258114374034,,,Macauley Island,Kermadec Is,New Zealand,238.0,Caldera,Holocene,6.0,,,,,,,,,,,,,,,,,,,,,-30.2,,,127
-4000,8.0,15.39258114374034,,,Pago,New Britain-SW Pac,Papua New Guinea,742.0,Caldera,Historical,6.0,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,-5.58,,,128
-50,8.0,15.39258114374034,,,Apoyeque,Nicaragua,Nicaragua,518.0,Pyroclastic shield,Radiocarbon,6.0,,,,,,,,,,,,,,,,,,,,,12.242,,,129
46,8.0,15.39258114374034,Tsunami,,Santorini,Greece,Greece,329.0,Shield volcano,Historical,3.0,,,,,,,,,,,,,,,,,,,,,36.404,,,130
500,8.0,15.39258114374034,,,Arhab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131
787,8.0,15.39258114374034,,,Vesuvius,Italy,Italy,1281.0,Complex volcano,Historical,3.0,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,40.821,,,132
1536,3.0,23.0,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,37.734,,,133
1690,2.0,3.0,Tsunami,,Vesuvius,Italy,Italy,1281.0,Complex volcano,Historical,,,,,,,,,,,,,,,,,,,,,,40.821,,,134
1726,2.0,1.0,,,Bardarbunga,Iceland-NE,Iceland,2000.0,Stratovolcano,Historical,1.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,64.63,,,135
1730,8.0,15.39258114374034,,,Raung,Java,Indonesia,3332.0,Stratovolcano,Historical,3.0,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-8.125,,,136
1742,6.0,15.0,,,Cotopaxi,Ecuador,Ecuador,5911.0,Stratovolcano,Historical,3.0,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,-0.677,,,137
1749,8.0,11.0,Tsunami,Earthquake,Taal,Luzon-Philippines,Philippines,400.0,Stratovolcano,Historical,3.0,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),14.002,,,138
1848,5.0,16.0,,,Kelut,Java,Indonesia,1731.0,Stratovolcano,Historical,2.0,21.0,Few (~1 to 50 deaths),,,,,,,800.0,Many (~101 to 1000 houses),21.0,Few (~1 to 50 deaths),,,,,,,800.0,Many (~101 to 1000 houses),-7.93,,,139
1861,5.0,7.0,,Earthquake,Dubbi,Africa-NE,Eritrea,1625.0,Stratovolcano,Historical,3.0,106.0,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),106.0,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),13.58,,,140
1892,8.0,30.0,Tsunami,,Tofua,Tonga-SW Pacific,Tonga,512.0,Caldera,Historical,2.0,,,,,,,,,,,,,,,,,,,,,-19.75,,,141
1897,5.0,23.0,,,Mayon,Luzon-Philippines,Philippines,2462.0,Stratovolcano,Historical,3.0,350.0,Many (~101 to 1000 deaths),,,,,,,,,350.0,Many (~101 to 1000 deaths),,,,,,,,,13.257,,,142
1902,5.0,5.0,Tsunami,,Pelee,W Indies,Martinique,1397.0,Stratovolcano,Historical,,23.0,Few (~1 to 50 deaths),,,,,,,,,23.0,Few (~1 to 50 deaths),,,,,,,,,14.82,,,143
1912,12.0,3.0,,,Nyamuragira,Africa-C,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
1919,2.0,19.0,,,Popocatepetl,Mexico,Mexico,5426.0,Stratovolcano,Historical,1.0,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,19.023,,,145
1919,4.0,3.0,Tsunami,,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,-5.0,Submarine volcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),3.138,,,146
1923,3.0,2.0,Tsunami,Earthquake,Cendres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147
1929,8.0,2.0,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,2.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,37.734,,,148
1939,8.0,17.0,,,Tori-shima,Izu Is-Japan,Japan,403.0,Stratovolcano,Historical,2.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,30.48,,,149
1940,6.0,20.0,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784.0,Stratovolcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,2.0,Few (~1 to 50 deaths),,,,,1.0,Few (~1 to 50 deaths),,,2.0,Few (~1 to 50 deaths),,,,,2.78,,,150
1947,7.0,6.0,,,Asama,Honshu-Japan,Japan,2560.0,Complex volcano,Historical,2.0,11.0,Few (~1 to 50 deaths),,,,,,,,,11.0,Few (~1 to 50 deaths),,,,,,,,,36.4,,,151
1957,8.0,15.39258114374034,,,Oshima,Izu Is-Japan,Japan,758.0,Stratovolcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,53.0,Some (~51 to 100 deaths),,,,,1.0,Few (~1 to 50 deaths),,,53.0,Some (~51 to 100 deaths),,,,,34.73,,,152
1979,9.0,6.0,,,Aso,Kyushu-Japan,Japan,1592.0,Caldera,Historical,2.0,3.0,Few (~1 to 50 deaths),,,11.0,Few (~1 to 50 deaths),,,,,3.0,Few (~1 to 50 deaths),,,11.0,Few (~1 to 50 deaths),,,,,32.88,,,153
1980,12.0,25.0,,,Hood,US-Oregon,United States,3426.0,Stratovolcano,Historical,,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,45.374,,,154
1989,8.0,26.0,,,Kirishima,Kyushu-Japan,Japan,1700.0,Shield volcano,Historical,,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,31.93,,,155
1994,5.0,29.0,,,Aso,Kyushu-Japan,Japan,1592.0,Caldera,Historical,1.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,32.88,,,156
2001,5.0,14.0,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,1.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,37.734,,,157
2011,2.0,23.0,,,Bulusan,Luzon-Philippines,Philippines,1565.0,Stratovolcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,12.77,,,158
2014,2.0,13.0,,,Kelut,Java,Indonesia,1731.0,Stratovolcano,Historical,,7.0,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),4098.0,Very Many (~1001 or more houses),7.0,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),4098.0,Very Many (~1001 or more houses),-7.93,,,159
-3550,8.0,15.39258114374034,,,Pinatubo,Luzon-Philippines,Philippines,1486.0,Stratovolcano,Historical,6.0,,,,,,,,,,,,,,,,,,,,,15.13,,,160
1050,8.0,15.39258114374034,Tsunami,,Santorini,Greece,Greece,329.0,Shield volcano,Historical,,,,,,,,,,,,,,,,,,,,,,36.404,,,161
1177,8.0,15.39258114374034,,,Katla,Iceland-S,Iceland,1512.0,Subglacial volcano,Historical,3.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.63,,,162
1595,3.0,12.0,,,Ruiz,Colombia,Colombia,5321.0,Stratovolcano,Historical,4.0,636.0,Many (~101 to 1000 deaths),,,,,,,,,636.0,Many (~101 to 1000 deaths),,,,,,,,,4.895,,,163
1598,8.0,15.39258114374034,,,Banda Api,Banda Sea,Pacific Ocean,640.0,Caldera,Historical,3.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-4.525,,,164
1638,8.0,15.39258114374034,,,Raung,Java,Indonesia,3332.0,Stratovolcano,Historical,4.0,1001.0,Very Many (~1001 or more deaths),,,,,,,,,1001.0,Very Many (~1001 or more deaths),,,,,,,,,-8.125,,,165
1659,9.0,30.0,,Earthquake,San Salvador,El Salvador,El Salvador,1893.0,Stratovolcano,Historical,3.0,,,,,,,,,,,,,,,,,,,,,13.736,,,166
1684,12.0,15.39258114374034,,,Grimsvotn,Iceland-NE,Iceland,1725.0,Caldera,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,64.42,,,167
1693,2.0,13.0,Tsunami,,Hekla,Iceland-S,Iceland,1491.0,Stratovolcano,Historical,4.0,,,,,,,,,,,,,,,,,,,,,63.98,,,168
1694,11.0,20.0,,,Banda Api,Banda Sea,Pacific Ocean,640.0,Caldera,Historical,3.0,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-4.525,,,169
1794,6.0,15.0,,,Vesuvius,Italy,Italy,1281.0,Complex volcano,Historical,3.0,400.0,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,400.0,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,40.821,,,170
1800,6.0,24.0,,,San Jorge,Azores,Portugal,1053.0,Fissure vent,Historical,1.0,9.0,Few (~1 to 50 deaths),,,,,,,,,9.0,Few (~1 to 50 deaths),,,,,,,,,38.65,,,171
1816,7.0,5.0,,,Aso,Kyushu-Japan,Japan,1592.0,Caldera,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,32.88,,,172
1817,1.0,24.0,,,Ijen,Java,Indonesia,2799.0,Stratovolcano,Historical,2.0,,Some (~51 to 100 deaths),,,,,,,90.0,Some (~51 to 100 houses),,Some (~51 to 100 deaths),,,,,,,90.0,Some (~51 to 100 houses),-8.058,,,173
1825,8.0,15.39258114374034,,,Balbi,Bougainville-SW Paci,Papua New Guinea,2715.0,Stratovolcano,Holocene,,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-5.83,,,174
1846,11.0,18.0,,,E-san,Hokkaido-Japan,Japan,618.0,Stratovolcano,Historical,1.0,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,41.8,,,175
1875,8.0,15.39258114374034,,,Mayon,Luzon-Philippines,Philippines,2462.0,Stratovolcano,Historical,,1500.0,Very Many (~1001 or more deaths),,,,,,,,,1500.0,Very Many (~1001 or more deaths),,,,,,,,,13.257,,,176
1889,9.0,6.0,Tsunami,Earthquake,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,-5.0,Submarine volcano,Historical,2.0,,,,,,,,,,,,,,,,,,,,,3.138,,,177
1912,9.0,6.0,,,Novarupta,Alaska Peninsula,United States,841.0,Caldera,Historical,6.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,58.27,,,178
1953,7.0,26.0,,,Hakone,Honshu-Japan,Japan,1438.0,Complex volcano,Radiocarbon,,10.0,Few (~1 to 50 deaths),,,,,,,,,10.0,Few (~1 to 50 deaths),,,,,,,,,35.22,,,179
1961,6.0,18.0,,,Daisetsu,Hokkaido-Japan,Japan,2290.0,Stratovolcano,Tephrochronology,,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,43.68,,,180
1964,12.0,13.0,,,Dieng Volc Complex,Java,Indonesia,2565.0,Complex volcano,Historical,1.0,114.0,Many (~101 to 1000 deaths),,,,,,,,,114.0,Many (~101 to 1000 deaths),,,,,,,,,-7.2,,,181
1965,10.0,24.0,Tsunami,,Kick-'em-Jenny,W Indies,Netherlands,-177.0,Submarine volcano,Historical,0.0,,,,,,,,,,,,,,,,,,,,,12.3,,,182
1971,9.0,6.0,Tsunami,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,851.0,Stratovolcano,Historical,2.0,,,,,,,,,,,,,,,,,,,,,-10.38,,,183
1976,8.0,31.0,,,Semeru,Java,Indonesia,3676.0,Stratovolcano,Historical,2.0,119.0,Many (~101 to 1000 deaths),,,,,,,,,119.0,Many (~101 to 1000 deaths),,,,,,,,,-8.108,,,184
1976,9.0,15.0,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784.0,Stratovolcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,24.0,Few (~1 to 50 houses),1.0,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,24.0,Few (~1 to 50 houses),2.78,,,185
1978,9.0,2.0,,,Santa Maria,Guatemala,Guatemala,3772.0,Stratovolcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,14.756,,,186
1983,3.0,8.0,,,Kliuchevskoi,Kamchatka,Russia,4835.0,Stratovolcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,56.057,,,187
1986,11.0,15.0,,,Oshima,Izu Is-Japan,Japan,758.0,Stratovolcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,34.73,,,188
1992,1.0,21.0,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784.0,Stratovolcano,Historical,2.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,2.78,,,189
2002,1.0,3.0,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784.0,Stratovolcano,Historical,3.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),2.78,,,190
2013,8.0,10.0,,,Paluweh,Lesser Sunda Is,Indonesia,875.0,Stratovolcano,Historical,3.0,5.0,Few (~1 to 50 deaths),,,,,,,,,5.0,Few (~1 to 50 deaths),,,,,,,,,-8.32,,,191
2013,9.0,15.0,,,Sinabung,Sumatra,Indonesia,2460.0,Stratovolcano,Holocene,2.0,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,3.17,,,192
2017,4.0,13.0,,,Sinabung,Sumatra,Indonesia,2460.0,Stratovolcano,Holocene,2.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Some (~51 to 100 houses),,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Some (~51 to 100 houses),3.17,,,193
2018,12.0,22.0,Tsunami,,Krakatau,Indonesia,Indonesia,813.0,Caldera,Historical,1.0,,,,,,,,,,,437.0,Many (~101 to 1000 deaths),10.0,Few (~1 to 50 deaths),31943.0,Very Many (~1001 or more deaths),250.0,EXTREME (~$25 million or more),2844.0,Very Many (~1001 or more houses),-6.102,,,194
2019,6.0,26.0,,,Ulawun,New Britain-SW Pac,Papua New Guinea,2334.0,Stratovolcano,Historical,,,,,,2.0,Few (~1 to 50 deaths),14.0,SEVERE (~>$5 to $24 million),,,,,,,2.0,Few (~1 to 50 deaths),14.0,SEVERE (~>$5 to $24 million),,,-5.05,,,195
920,8.0,15.39258114374034,,,Katla,Iceland-S,Iceland,1512.0,Subglacial volcano,Historical,4.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,63.63,,,196
1104,10.0,15.0,,,Hekla,Iceland-S,Iceland,1491.0,Stratovolcano,Historical,5.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,,,197
1151,8.0,15.39258114374034,,,Krisuvik,Iceland-SW,Iceland,379.0,Crater rows,Historical,1.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.93,,,198
1206,12.0,4.0,,,Hekla,Iceland-S,Iceland,1491.0,Stratovolcano,Historical,2.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,,,199
1329,6.0,28.0,Tsunami,Earthquake,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,3.0,,,,,,,,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),37.734,,,200
1485,1.0,15.39258114374034,,,Aso,Kyushu-Japan,Japan,1592.0,Caldera,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,32.88,,,201
1550,11.0,15.39258114374034,,,Dukono,Halmahera-Indonesia,Indonesia,1185.0,Complex volcano,Historical,3.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,1.68,,,202
1576,8.0,15.39258114374034,,,Colima,Mexico,Mexico,3850.0,Stratovolcano,Historical,3.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,19.514,,,203
1580,8.0,11.0,,,Katla,Iceland-S,Iceland,1512.0,Subglacial volcano,Historical,4.0,,,,,,,,,,,,,,,,,,,,,63.63,,,204
1598,5.0,13.0,,,Asama,Honshu-Japan,Japan,2560.0,Complex volcano,Historical,2.0,800.0,Many (~101 to 1000 deaths),,,,,,,,,800.0,Many (~101 to 1000 deaths),,,,,,,,,36.4,,,205
1730,9.0,1.0,,,Lanzarote,Canary Is,Spain,670.0,Fissure vent,Historical,2.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,29.03,,,206
1772,8.0,12.0,,,Papandayan,Java,Indonesia,2665.0,Stratovolcano,Historical,3.0,2957.0,Very Many (~1001 or more deaths),,,,,,,,Many (~101 to 1000 houses),2957.0,Very Many (~1001 or more deaths),,,,,,,,Many (~101 to 1000 houses),-7.32,,,207
1781,4.0,11.0,Tsunami,,Sakura-jima,Kyushu-Japan,Japan,1117.0,Stratovolcano,Historical,4.0,23.0,Few (~1 to 50 deaths),,,,,,,,,38.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,31.58,,,208
1826,10.0,15.39258114374034,,,Aso,Kyushu-Japan,Japan,1592.0,Caldera,Historical,2.0,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,32.88,,,209
1840,5.0,30.0,Tsunami,,Kilauea,Hawaiian Is,United States,1222.0,Shield volcano,Historical,0.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,19.425,,,210
1840,8.0,15.39258114374034,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,510.0,Stratovolcano,Historical,3.0,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-9.13,,,211
1850,8.0,15.39258114374034,,,Rabaul,New Britain-SW Pac,Papua New Guinea,688.0,Pyroclastic shield,Historical,2.0,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-4.271,,,212
1858,7.0,3.0,,,Tate-yama,Honshu-Japan,Japan,2621.0,Stratovolcano,Historical,,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,36.57,,,213
1883,3.0,15.39258114374034,,,Karthala,Indian O-W,Comoros,2361.0,Shield volcano,Historical,2.0,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,-11.75,,,214
1887,3.0,9.0,,,Mayon,Luzon-Philippines,Philippines,2462.0,Stratovolcano,Historical,3.0,15.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),15.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),13.257,,,215
1890,6.0,29.0,,,Makian,Halmahera-Indonesia,Indonesia,1357.0,Stratovolcano,Historical,2.0,,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,,,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),0.32,,,216
1902,8.0,30.0,Tsunami,,Pelee,W Indies,Martinique,1397.0,Stratovolcano,Historical,4.0,1500.0,Many (~101 to 1000 deaths),,,,,,,,,1500.0,Many (~101 to 1000 deaths),,,,,,,,,14.82,,,217
1902,10.0,25.0,,,Santa Maria,Guatemala,Guatemala,3772.0,Stratovolcano,Historical,6.0,2500.0,Very Many (~1001 or more deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),10000.0,Very Many (~1001 or more deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),14.756,,,218
1936,2.0,15.39258114374034,,,Asama,Honshu-Japan,Japan,2560.0,Complex volcano,Historical,3.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,36.4,,,219
1937,2.0,9.0,,,Llaima,Chile-C,Chile,3125.0,Stratovolcano,Historical,2.0,3.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,3.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,-38.692,,,220
1943,4.0,13.0,,,Azul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221
1951,1.0,21.0,,,Lamington,New Guinea,Papua New Guinea,1680.0,Stratovolcano,Historical,4.0,2942.0,Very Many (~1001 or more deaths),,,,Some (~51 to 100 deaths),,,,,2942.0,Very Many (~1001 or more deaths),,,,Some (~51 to 100 deaths),,,,,-8.95,,,222
1970,3.0,2.0,,,Campi Flegrei,Italy,Italy,458.0,Caldera,Historical,,3.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),3.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),40.827,,,223
1981,5.0,14.0,,,Semeru,Java,Indonesia,3676.0,Stratovolcano,Historical,3.0,372.0,Many (~101 to 1000 deaths),120.0,Many (~101 to 1000 deaths),152.0,Many (~101 to 1000 deaths),,,,,372.0,Many (~101 to 1000 deaths),120.0,Many (~101 to 1000 deaths),152.0,Many (~101 to 1000 deaths),,,,,-8.108,,,224
1983,8.0,17.0,Tsunami,,Iliwerung,Lesser Sunda Is,Indonesia,1018.0,Complex volcano,Historical,1.0,,,,,,,,,,,,,,,,,,,,,-8.54,,,225
1985,12.0,19.0,,,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,1.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,37.734,,,226
1990,5.0,29.0,,,Sabancaya,Peru,Peru,5967.0,Stratovolcano,Historical,3.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-15.78,,,227
1990,11.0,21.0,,,Nyiragongo,Africa-C,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,228
1997,9.0,2.0,,,Semeru,Java,Indonesia,3676.0,Stratovolcano,Historical,3.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,-8.108,,,229
1999,1.0,20.0,Tsunami,,Soufriere Hills,W Indies,Montserrat,915.0,Stratovolcano,Historical,3.0,,,,,,,,,,,,,,,,,,,,,16.72,,,230
2000,11.0,15.39258114374034,,,Merapi,Java,Indonesia,2947.0,Stratovolcano,Historical,2.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,-7.542,,,231
-1860,8.0,15.39258114374034,,,St. Helens,US-Washington,United States,2549.0,Stratovolcano,Historical,6.0,,,,,,,,,,,,,,,,,,,,,46.2,,,232
230,8.0,15.39258114374034,,,Taupo,New Zealand,New Zealand,760.0,Caldera,Radiocarbon,6.0,,,,,,,,,,,,,,,,,,,,,-38.82,,,233
1169,2.0,4.0,Tsunami,Earthquake,Etna,Italy,Italy,3350.0,Stratovolcano,Historical,,,,,,,,,,,,16000.0,Very Many (~1001 or more deaths),,,,,,EXTREME (~$25 million or more),,,37.734,,,234
