Year,Month,Day,Flag.Tsunami,Flag.Earthquake,Volcano.Name,Location,Country,Elevation,Volcano.Type,Status,Volcanic.Explosivity.Index,Volcano...Deaths,Volcano...Deaths.Description,Volcano...Missing,Volcano...Missing.Description,Volcano...Injuries,Volcano...Injuries.Description,Volcano...Damage..in.M..,Volcano...Damage.Description,Volcano...Houses.destroyed,Volcano...Houses.destroyed.Description,Total.Effects...Deaths,Total.Effects...Deaths.Description,Total.Effects...Missing,Total.Effects...Missing.Description,Total.Effects...Injuries,Total.Effects...Injuries.Description,Total.Effects...Damages.in.million.Dollars,Total.Effects...Damage.Description,Total.Effects...Houses.Destroyed,Total.Effects...Houses.Destroyed.Description,Coordinates,Earthquakes...Houses.damaged.Description,Total.Effects...Houses.Damaged.Description,RowNumber
1716,11.0,9.0,,,Kirishima,Kyushu-Japan,Japan,1700.0,Shield volcano,Historical,3.0,1.0,Few (~1 to 50 deaths),,,31.0,Few (~1 to 50 deaths),,,,,1.0,Few (~1 to 50 deaths),,,31.0,Few (~1 to 50 deaths),,,,,31.93,,,812
1721,6.0,22.0,,,Asama,Honshu-Japan,Japan,2560.0,Complex volcano,Historical,1.0,15.0,Few (~1 to 50 deaths),,,,,,,,,15.0,Few (~1 to 50 deaths),,,,,,,,,36.4,,,813
1762,8.0,15.39258114374034,,,Kliuchevskoi,Kamchatka,Russia,4835.0,Stratovolcano,Historical,2.0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,56.057,,,814
1784,7.0,15.39258114374034,,,Sabancaya,Peru,Peru,5967.0,Stratovolcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-15.78,,,815
1786,8.0,15.39258114374034,,,Dieng Volc Complex,Java,Indonesia,2565.0,Complex volcano,Historical,2.0,38.0,Few (~1 to 50 deaths),,,,,,,,Some (~51 to 100 houses),38.0,Few (~1 to 50 deaths),,,,,,,,Some (~51 to 100 houses),-7.2,,,816
1800,10.0,8.0,,,Guntur,Java,Indonesia,2249.0,Complex volcano,Historical,,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-7.13,,,817
1800,8.0,15.39258114374034,,,Hualalai,Hawaiian Is,United States,2523.0,Shield volcano,Historical,0.0,2.0,Few (~1 to 50 deaths),,,,,,,,,2.0,Few (~1 to 50 deaths),,,,,,,,,19.692,,,818
1839,2.0,12.0,Tsunami,,Unnamed,Chile-Is,Chile,-642.0,Submarine volcano,Uncertain,2.0,,,,,,,,,,,,,,,,,,,,,-33.62,,,819
1861,5.0,15.39258114374034,,,Grimsvotn,Iceland-NE,Iceland,1725.0,Caldera,Historical,2.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,64.42,,,820
1878,1.0,15.39258114374034,Tsunami,Earthquake,Rabaul,New Britain-SW Pac,Papua New Guinea,688.0,Pyroclastic shield,Historical,3.0,1.0,Few (~1 to 50 deaths),,,,,,,,,1.0,Few (~1 to 50 deaths),,,,,,,,,-4.271,,,821
